timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y,gaze_x,gaze_y,target_x,target_y,target_x_ratio,target_y_ratio,screen_width,screen_height,is_synthetic
1755779605706,0.43906,0.46010,0.53642,0.46568,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605722,0.43903,0.46003,0.53628,0.46683,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605738,0.43878,0.46022,0.53618,0.46766,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605753,0.43876,0.46046,0.53603,0.46725,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605769,0.43880,0.46032,0.53604,0.46722,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605786,0.43874,0.46038,0.53596,0.46713,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605802,0.43617,0.44840,0.53430,0.45263,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605818,0.43563,0.44830,0.53387,0.45287,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605833,0.43563,0.44831,0.53390,0.45266,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605849,0.43576,0.44845,0.53389,0.45263,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605865,0.43569,0.44843,0.53390,0.45255,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605885,0.43744,0.46076,0.53479,0.46534,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605902,0.43740,0.46124,0.53500,0.46513,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605918,0.43729,0.46075,0.53493,0.46510,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605934,0.43726,0.46062,0.53508,0.46495,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605950,0.43725,0.46077,0.53507,0.46503,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605966,0.43730,0.46081,0.53511,0.46508,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605981,0.43729,0.46064,0.53498,0.46497,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779605997,0.44466,0.45215,0.54164,0.45524,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606013,0.44467,0.45129,0.54180,0.45599,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606029,0.44470,0.45159,0.54186,0.45597,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606045,0.44472,0.45160,0.54183,0.45602,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606060,0.44481,0.45175,0.54188,0.45595,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606077,0.44475,0.45186,0.54189,0.45601,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606093,0.44909,0.45721,0.54659,0.46007,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606109,0.44978,0.45760,0.54654,0.46087,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606124,0.44962,0.45711,0.54669,0.46093,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606140,0.44950,0.45716,0.54667,0.46071,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606156,0.44957,0.45718,0.54654,0.46084,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606171,0.44956,0.45717,0.54662,0.46077,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606187,0.45187,0.45677,0.54957,0.46089,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606202,0.45255,0.45669,0.54911,0.46140,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606217,0.45236,0.45622,0.54946,0.46180,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606232,0.45229,0.45645,0.54916,0.46168,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606247,0.45221,0.45680,0.54933,0.46189,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606263,0.45228,0.45656,0.54919,0.46185,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606279,0.45220,0.45663,0.54928,0.46171,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606295,0.45315,0.46115,0.54990,0.46470,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606310,0.45301,0.45943,0.55003,0.46501,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606325,0.45289,0.45990,0.55005,0.46525,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606341,0.45285,0.45937,0.55005,0.46520,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606357,0.45287,0.45960,0.55011,0.46515,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606374,0.45294,0.45973,0.55019,0.46507,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606393,0.45292,0.45956,0.55009,0.46538,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606410,0.45312,0.45907,0.55000,0.46445,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606427,0.45294,0.45918,0.55021,0.46448,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606443,0.45293,0.45932,0.55018,0.46440,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606461,0.45291,0.45942,0.55011,0.46429,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
1755779606479,0.45292,0.45942,0.55017,0.46422,591,227,591.3043316554526,227.15093165637822,0.38496,0.31117,1536,730,0
